,DATE,REVIEW,star
17,2021-3-10,"말도안돼는 확률을 내걸고 뻔뻔하게 장사를 하고 있지 그런데 그 확률마저 검증할 방법이 없고 설령 나온다해도 중과금 위주로 개평 때주듯이 줄지도 모른다 소과금이나 무과금은 철지히 무시하고 게임에 시간 투자한 사람들은 나아질게없이 샌드백 신세지 그리고 사람 기만하는 이벤트도 신물이 난다 아무것도 안주면서 척은 다하고 말야 막피는 성행하는데 자동사냥에 무분별한 막피 허용도 말이 안되는거고 게임의 본질은 이미 상실한지 오래고 단지 돈벌기 위해서 운영하는 컨탠츠다 아저씨들 살살 꼬셔서 돈벌어 그돈으로 혁신적인척 뭘 선도하는척하고 말야 불만이...
전체 리뷰",1
18,2021-3-11,영인 뽑기만 400들어갔다 난 아직도 희인끌고 사냥다닌다 계속해야하는거 맞냐? 강화확률도 어찌나 그지인지 15번 연속 깨지는건 먼데? 얼마나 더 뽑아먹어야 유저 생각해줄래?,1
19,2021-3-10,현질 안할꺼면 안하는게 나음. 몇천 질러서 무과금 된꼴 보면 마음이 아픔. 사채끼고 하는 게임.,1
20,2021-3-10,무과금 유저도 재밋게 플레이 할수 있도록 사냥터에서 좋은 아이템 많이 드랍시켜주세용^^ 그리고 유저들이 사랑할 수 있는 철학이 있는 멋진 게임이 될수 있도록 계속 노력 해 주세요. 엔씨소프트의 무궁한 발전을 기대 합니다.^^,4
21,2021-2-28,하지도 않는 게임 통신사로부터 33.000' 원 2건 결제 문자가 와서 어플 설치 후 개발자 연락했고 이메일도 보냈는데 답장이 없네요 연락부탁드립니다,5
22,2021-3-1,진짜 모바일 게임사중 한군데 무조건 벌받아야하다면 누굴까요 ? 서비스 개판 현질유도 확률형 아이템에 시초이자 최고 배째라식 운영 반성좀 해요,1
23,2021-2-27,확실히 재미는 있지만 너무 과금을 유도하는건 좀 고치고 레벨업 보상을 확대해주시면 좋겠어요~,2
24,2021-3-6,도대체 피케이가 이렇게 심한데 페널티가 없다는게 말이 됩니까? 자동사냥을 만들어 놓으면 뭐 하나요 이게임 하다보면 스트레스 받습니다,1
25,2021-3-6,이용약관 크기나 어떻게 해봐 드래그도 안되고 확인버튼도 안보여 패키지만들생각말고 유저생각이나해 하긴 패키지팔아서 니들 월급올렸으니 패키지 팔생각말고 뭐가있겠냐 에휴,1
26,2021-2-24,광전사 키우는데 퀘스트로 광전사의 인장(하울)사용 에서 스킬 습득했는데도 다음 퀘스트로 안넘어가고 듀토리얼안에 갇혀있네요. 제발좀 수정좀 해주세요. 지금까지 패치가 제케릭만 안되요,1
27,2021-2-24,거지같은 것들.... 스탯적용 안되는 버그 진득하게 수정 안하네... 돈만 빨생각으로 유료템은 잘도 업뎃하면서 버그 하나 수정하는게 그리 힘드냐!!,1
28,2021-2-28,사냥시 일반몹 선공격한 유져가 경험치 가져 가야된다고 생각 합니다 비매너유져들 때문에 경험치도 별로 못먹읍니다,1
29,2021-3-14,개인거래는 잊은지 오래고. 돈없으면 못하는게임. 모든 무과금 형님들 화이팅.,2
30,2021-3-10,돈버는것도좋은데 유저들도 생각좀해줘야하지않겠냐? 보스에선 아이템하나안주고 다 사라는게 이게 게임이냐?,2
31,2021-3-10,역시 게임은 NC 재미있게 잘 즐기고 있습니다. 막피들 때문에 고생은 하지만ㅋ 카오상태 아이템 드랍 같은게 없어 아쉬움ㅋ,5
32,2021-2-24,리니지엠 접속이안됩니다 로딩창이 멈춰서 다음창으로안넘어가네요ㅡ 지우고 다시깔아도 접속이안되네요,1
33,2021-2-25,약육강식도 피라미드의 먹이구조가 성립되야 가능하다. 무분별한 막피와 막피가 목적이 되어버린 게임은 그 균형을 잃어버린다. 엔씨야 과금러들이 필요하겠지만 무과금 유저 없이는 과금러들도 지탱하기 힘들다. 피니지처럼 지옥을 만들던지. 유저에게 게임이 지속적인 피로감을주고 스트레스가 된다면 하나둘 떠날것이다. 눈앞의 나무만 바라보지말고 숲을보길. 하루만 살고 말것도 아닌데. 나는 보이는데 너희는 안보이나보다.,1
34,2021-3-10,사장님들 리니지 돈 너무많이들어서 망한듯해요 앞으로 지켜봅시다 조만간 다 안할듯.니네 운영방식땜에 이런거다 얼마나갈지 보자 ㅋㅋㅋㅋㅋ,1
35,2021-3-9,하지도않는겜에 60만원 결제문자왔어요 늦은시간이라 전화도 안되고,1
36,2021-3-9,리니지M 할바에 강원랜드를 가고말지 ㅉㅉ 게임성이라고는 개미 혓바닥만큼 있고 온통 뽑기뿐 그냥 게임의 탈을 쓴 슬롯머신임,1
37,2021-3-10,변동확률이라서 그런건지 모르겠는데 영인 15번뽑고 재뽑 50번할동안 뱀파가 안나왔었네요. 갑자기 소름돋습니다. 그리고 최상급뽑기에서 전변옆에꺼 번개치고도 전변안나온게 3번이 넘는데 그게 전부 변동확률이라 그런건가보네요 ㅎㄷㄷㄷㄷ,1
38,2021-2-26,약육강식도 피라미드의 먹이고 조가 성립돼야 가능하다. 무분별한 막 피와 막 피가 목적이 되어버린 게임은 그 균형을 잃어버린다. 엔씨야 과금 러들이 필요하겠지만 무과금 사용자 없이는 과금 러들도 지탱하기 힘들다. 피니 자기처럼 지옥을 만들던지. 사용자에게 게임이 지속적인 피로감을 주고 스트레스가 된다면 하나둘 떠날 것이다. 눈앞의 나무만 바라보지 말고 숲을 보길. 하루만 살고 말 것도 아닌데. 나는 보이는데 너희는 안 보이나보다.,1
39,2021-2-26,저만 겜 접속이 안되는건가? 갑자기 로딩도끝기고 이제 접속이 안되네요,3
40,2021-3-7,막피한테 죽기싫어서 과금한게 이백으로 부족하니... 좀더... 나이 서른다되서 과금이 되는줄알았는데 과금을 따라갈수없는 신세계였다...이게 진짜 강원랜드에 진짜 놀러온 은퇴아저씨들이 하는 게임이구나 싶어서 과금은 포기했습니다 하지마세요 저야 뭐 싸게 과금을 멈췄지만... 저말고도 수많은 유저들이 많이 쓰기만했을겁니다... 무소과금 유저한테 이렇게 배려안하는 게임도 처음봤고.. 그냥..과금을 안하시는걸 추천합니다.,1
41,2021-3-8,과거의 향수 하지만...... 함정이 많다는것. 떠날때가 돤건가???,1
42,2021-3-11,암흑기사때부터 무너지기시진한 밸런스 신성검사 패치로 완전무너진듯 합니다.신성검사 외에 다른 캐릭 키우면 호구인 게임이됨 &법사 클체나온거 실화냐? 서버당 3명? 그거조차 말안된다 65암기 7검 4셋 vs79법사 영웅템 4개 암기가 몹잡는게 2배이상 빠르다 그렇게 법사들은 힘들게 키웠다. 말이 된다 생각 하고 패치 한건가 싶다 고로 내가 접는다 ㅡㅡ소과금은 법사키우지마세요 힘들게 키워봐야 초과금러아니면 답이 없습니다. 오만 풀 수동사냥 가능하면 법사 추천,1
43,2021-3-12,소과금 했는데도 잠깐 30분 업무보고 오면 몬스터에 죽어있고... 골드는 안모이니 스킬북도 못사고... 이것이 우리나라 대표 NC가 추구하는 바인ㄴ가요?,1
44,2021-3-10,"과금상품을 내놓지만 유도한적은 없다라고 씨부리는 택진씨 근데말여 계속해서 과금상품을 매주마다 내놓는게 돈쓰라고 말하는것보다 더 무섭소 거기다가 한정판이라는 말은 왜갔다붙이는지 이게 과금유도가 아니면 뭐가 유도인지 주말한정판ㅋㅋㅋ 그냥 대놓고 돈쓰라고 말을해라 그게더 욕을 덜먹고 인간다워보인다 근데 왜 못하지 법에 걸려서?ㅋㅋㅋ 법은 무섭고 국민은 역시 안무섭고 NC들이여 들어라 반드시 무너지니라 올라갈때가 있으면 내려올때도 있으리니 정상에 있을때 겸손하지 못하면 그 끝은 멸망이니라 명심하라 반드시 그 뿌리까지 일어서지 못할것이니라 ...
전체 리뷰",1
45,2021-2-7,"지금 제가 리니지M에 가입을 안하고 한번도 플레이를 안했는데 결재가되었다고 합니다. 환불취소하려고 봤더니 제 구글 이메일주소상에 리니지M이 안뜨는데 직접 통화해서 취소하고 싶어 여기에 적어봅니다. 아 개발자님 답변감사합니다. 그렇지 않아도 1대1 문의에 구글결재내역 관련 스크린캡쳐해서 올렸습니다. 속히 답변부탁드립니다. 제 생애 리니지를 한번도 해보지 않았는데 전화비 내려고보니 결재되어 청구서에 기재되있을때 황당하더군요. 제개인정보는 어찌알았으며 제가 사용하는 구글계정 결재에도 보니 리니지 결재가 안떠있더라구요. 보이면 취소라도하는...
전체 리뷰",1
46,2021-3-5,지금 다운을 받지도 않았는데 새벽 사이에 10만원이 빠져나가서 리뷰 올립니다.앱을 다운은 커녕 시작도 안했는데 자는 사이에 계정 안에서 33000원이 결제되었다 해서 놀라 내역을 확인해보니까 설치도 안했는데 사용하고 그게 제 통장에서 빠져나갔습니다.급하게 계정 비번을 바꿨을땐 이미 10만원이 사용된 뒤였습니다.스스로 지른거면 모를까 한번도 안한 게임에서 돈이 사용되는건 이상하네요.환불 부탁드리겠습니다,5
47,2021-3-10,폰 바꾸고 새로 깔았는데 이용약관에서 안 넘어가네요.,1
48,2021-3-10,피니지에 대한 추억으로 시작했지만 2달만에 그만둡니다 피니지처럼 지옥시스템이 없는 이상 무분별한 막피는 없어질수 없고 결국 24시간 게임에 접속해서 막피가 판치는 이상 나처럼 정상적인 사회생활하면서 즐기는 유저는 모두 떠나고 말것이다,1
49,2021-3-10,피니지의 향수는 느낄수없다. 그냥 모바일 게임. 레벨 제한에 따른 컨텐츠를 포기하면 무과금으로도 즐길수 있다. 한달 5~10정도 소과금만해도 다마고찌용으로 괜찮은편이다. 얽매이지 않는다면 오랜 역사가 말해주듯 할만한 게임인건 확실하다. 단 모바일 게임 특성상 유저가 농락당하는 기분이드는 업데이트들은 감안해야 할것이다.,5
50,2021-3-10,문양복구기능을 없앴으면 당연히 문양도롤백해줘야하는거 아닌가요 이렇게 유저를 기망해도되나요 더러워서 겜접을렵니다 사이하 그랑카인 문양복구저장된거보고 초기화시도했고 복구기능 예고없이 없애버리면 제문양 업데이트전으로 복구못한거는 제잘못인가요 nc잘못인가요 오류가있는 문양저장복구기능없었으면 초기화안했을텐데 저장복구믿고 초기화하고 그기능을 오류라고없애버리면 저의뒤로간 문양은 제가실수한거라서 롤백안해주시는건지요 초기화비용 몇백 몇천이들어갈수있는상황인데 그냥 받아드리라는건가요 납득할수있는답변없으면 그냥 게임접습니다,1
51,2021-3-11,게임이 점점재미가없어지네요 돈만가저갈뿐 내주머니 오링이고 돈은더달라는데 이제 접어야겠네요 환불신청 하면 환불해주나요,1
52,2021-2-24,기기등록하고 번호변경하면...그 계정 찾기 어려움.. 무슨 서류들이 이리 복잡한지..본인 확인만 하면 되는걸 그 번호 쓰던거 돈내고 한걸 확인서류 보내야 하고..등등.. 서류 보내려다 그냥 겜 접음.. ㅋㅋ ㅋ 무과금이라...미틴 엔..씨..씨....이다,1
53,2021-2-24,전화번호 인증이 안됩니다 인증 되어있는 기기삭제도 하고 다 해봤는데 인증이 안됩니다,3
54,2021-2-28,이제 확실히 끝물인듯. 옛날 감성으로 아재들 돈 너무 털어가셨어.,1
55,2021-3-1,갤럭시s21 울트라 약관 화면에서 다운되는 증상 해결책 알려준다. 해상도들 최고 화질로 하면 약관 동의 멘트가 클릭이 안 되서 다운되는거였음 설치하고 처음 접속할때만 화질 낮춰 접속해서 약관 동의하면 다음 접속부터는 최고 화질로 설정해도 접속 잘 됨,1
56,2021-1-27,왜 다운다받았는데 고객정보처리방침에 체크만되고 게임시작이 안되는지 모르겠습니다,3
57,2021-2-24,쓰레기게임 하지마세요 . 돈만쏟아붓고 게임 질 너무 떨어집니다. 이런 쓰레기 겜 3년 넘게했지만 유저들 등꼴 빼먹고 자기네들 배만 부르게 하는기업 투자하면 투자대비 10프로도 안되는 게임 쓰레기 게임은 하지 맙시다,1
58,2021-2-25,첨시작하는유저인데 이거무슨 퀘스트 진행이안되네요 하울??이라는 인장사용하래서 사용도하고 스킬도 쓰는데 퀘스트가 넘어가지도않고 그자리에만 뱅뱅도네요 게임내에 게시판이라는데에 글올리려고해서 게시판은 사용도안되고 신고접수란을 따로만들오주시던가 해결을 할방법이없네요 두시간째 케릭은 한곳에서 뱅뱅돌고 글쓰기버튼도 누름 게시판이 반투명이되고 꾸역꾸역어떻게 게시판 띄워서 글쓰기누름 안되고 하지말라는건가요??,1
59,2021-2-26,갤럭시 S21 울트라에서 설치하고 동의하기 체크하고 튕깁니다. 빠른 조치 하세요. 쓴김에 한가지 인게임 내에서 무분별한 막피가 너무 심합니다. 자동사냥시 막피가 공격하면 반격이라도 바로 하게끔 수정좀 바랍니다. 이건 너무 아니네요.,1
60,2021-3-10,리니지 유저들 중 극소수 쓰레기들이 요즘 구글계정 해킹해서 남의 카드로 결제하고 있습니다. 엄연한 범죄입니다. 자세히는 안쓰겠습니다. 리니지 운영진들 모두 알고 있을텐데 눈감아주지 말아주세요. 범죄행위입니다. 수익창출이 중요하시겠지만 범죄를 눈감아주는 행위도 마찬가지로 범죄행위입니다.,1
61,2021-3-10,핵과금러들만 할수있어요 무소과금은 하기 힘든 게임 유저들과 소통도 안함,1
62,2021-2-19,유저들이 가장많이 이용하는 저녁시간에 임시점검을 하는 구태의연함은 게임사의 횡포로밖에 보이지 않는다.몇시간 더 기다려 유저가 적은 새벽시간에 하던가?,1
